ref_mol	ref_frame	mol	frame	   rmsd
      1	        0	  0	    0	  2.889
      1	        0	  0	    1	  2.793
      1	        0	  0	    2	  2.961
      1	        0	  0	    3	  2.809
      1	        0	  0	    4	  2.883
      1	        0	  0	    5	  3.164
      1	        0	  0	    6	  2.834
      1	        0	  0	    7	  2.805
      1	        0	  0	    8	  2.911
      1	        0	  0	    9	  2.936
      1	        0	  0	   10	  2.894
      1	        0	  0	   11	  2.962
      1	        0	  0	   12	  2.887
      1	        0	  0	   13	  2.927
      1	        0	  0	   14	  3.118
      1	        0	  0	   15	  2.903
      1	        0	  0	   16	  2.745
      1	        0	  0	   17	  2.978
      1	        0	  0	   18	  3.025
      1	        0	  0	   19	  2.624
      1	        0	  0	   20	  3.106
      1	        0	  0	   21	  2.857
      1	        0	  0	   22	  2.687
      1	        0	  0	   23	  2.621
      1	        0	  0	   24	  2.932
      1	        0	  0	   25	  2.800
      1	        0	  0	   26	  2.950
      1	        0	  0	   27	  2.906
      1	        0	  0	   28	  2.546
      1	        0	  0	   29	  2.832
      1	        0	  0	   30	  2.871
      1	        0	  0	   31	  2.817
      1	        0	  0	   32	  2.923
      1	        0	  0	   33	  2.878
      1	        0	  0	   34	  3.041
      1	        0	  0	   35	  2.908
      1	        0	  0	   36	  2.857
      1	        0	  0	   37	  3.030
      1	        0	  0	   38	  2.818
      1	        0	  0	   39	  2.839
      1	        0	  0	   40	  3.140
      1	        0	  0	   41	  2.752
      1	        0	  0	   42	  2.870
      1	        0	  0	   43	  2.983
      1	        0	  0	   44	  2.981
      1	        0	  0	   45	  3.026
      1	        0	  0	   46	  2.991
      1	        0	  0	   47	  3.420
      1	        0	  0	   48	  2.936
      1	        0	  0	   49	  2.671
      1	        0	  0	   50	  2.666
      1	        0	  0	   51	  2.943
      1	        0	  0	   52	  2.755
      1	        0	  0	   53	  2.844
      1	        0	  0	   54	  3.105
      1	        0	  0	   55	  2.964
      1	        0	  0	   56	  2.970
      1	        0	  0	   57	  2.859
      1	        0	  0	   58	  3.040
      1	        0	  0	   59	  2.653
      1	        0	  0	   60	  2.896
      1	        0	  0	   61	  3.199
      1	        0	  0	   62	  2.998
      1	        0	  0	   63	  2.761
      1	        0	  0	   64	  3.085
      1	        0	  0	   65	  2.836
      1	        0	  0	   66	  2.803
      1	        0	  0	   67	  3.002
      1	        0	  0	   68	  3.090
      1	        0	  0	   69	  2.843
      1	        0	  0	   70	  2.770
      1	        0	  0	   71	  2.891
      1	        0	  0	   72	  2.882
      1	        0	  0	   73	  2.858
      1	        0	  0	   74	  3.033
      1	        0	  0	   75	  2.983
      1	        0	  0	   76	  3.063
      1	        0	  0	   77	  3.036
      1	        0	  0	   78	  2.769
      1	        0	  0	   79	  3.218
      1	        0	  0	   80	  2.834
      1	        0	  0	   81	  2.822
      1	        0	  0	   82	  2.893
      1	        0	  0	   83	  2.855
      1	        0	  0	   84	  2.645
      1	        0	  0	   85	  2.929
      1	        0	  0	   86	  3.071
      1	        0	  0	   87	  2.956
      1	        0	  0	   88	  3.047
      1	        0	  0	   89	  2.944
      1	        0	  0	   90	  2.976
      1	        0	  0	   91	  2.726
      1	        0	  0	   92	  3.053
      1	        0	  0	   93	  2.814
      1	        0	  0	   94	  2.891
      1	        0	  0	   95	  2.742
      1	        0	  0	   96	  2.808
      1	        0	  0	   97	  2.721
      1	        0	  0	   98	  3.102
      1	        0	  0	   99	  3.118
      1	        0	  1	    1	  2.466
      1	        0	  1	    2	  2.940
      1	        0	  1	    3	  3.164
      1	        0	  1	    4	  2.664
      1	        0	  1	    5	  2.599
      1	        0	  1	    6	  2.753
      1	        0	  1	    7	  2.699
      1	        0	  1	    8	  3.045
      1	        0	  1	    9	  3.186
      1	        0	  1	   10	  3.233
      1	        0	  1	   11	  2.478
      1	        0	  1	   12	  3.077
      1	        0	  1	   13	  2.858
      1	        0	  1	   14	  2.632
      1	        0	  1	   15	  2.666
      1	        0	  1	   16	  3.028
      1	        0	  1	   17	  2.652
      1	        0	  1	   18	  2.657
      1	        0	  1	   19	  1.961
      1	        0	  1	   20	  2.684
      1	        0	  1	   21	  2.740
      1	        0	  1	   22	  2.865
      1	        0	  1	   23	  3.079
      1	        0	  1	   24	  2.796
      1	        0	  1	   25	  2.880
      1	        0	  1	   26	  3.022
      1	        0	  1	   27	  2.695
      1	        0	  1	   28	  2.783
      1	        0	  1	   29	  2.700
      1	        0	  1	   30	  2.030
      1	        0	  1	   31	  1.409
      1	        0	  1	   32	  2.756
      1	        0	  1	   33	  3.326
      1	        0	  1	   34	  2.968
      1	        0	  1	   35	  2.570
      1	        0	  1	   36	  2.922
      1	        0	  1	   37	  2.654
      1	        0	  1	   38	  2.898
      1	        0	  1	   39	  2.756
      1	        0	  1	   40	  2.898
      1	        0	  1	   41	  2.745
      1	        0	  1	   42	  2.891
      1	        0	  1	   43	  2.916
      1	        0	  1	   44	  2.936
      1	        0	  1	   45	  2.527
      1	        0	  1	   46	  2.941
      1	        0	  1	   47	  3.013
      1	        0	  1	   48	  3.129
      1	        0	  1	   49	  2.583
      1	        0	  1	   50	  2.885
      1	        0	  1	   51	  2.515
      1	        0	  1	   52	  2.881
      1	        0	  1	   53	  2.156
      1	        0	  1	   54	  2.970
      1	        0	  1	   55	  2.278
      1	        0	  1	   56	  2.762
      1	        0	  1	   57	  3.717
      1	        0	  1	   58	  3.061
      1	        0	  1	   59	  2.913
      1	        0	  1	   60	  2.705
      1	        0	  1	   61	  2.190
      1	        0	  1	   62	  2.981
      1	        0	  1	   63	  2.780
      1	        0	  1	   64	  2.831
      1	        0	  1	   65	  2.867
      1	        0	  1	   66	  2.795
      1	        0	  1	   67	  2.405
      1	        0	  1	   68	  2.707
      1	        0	  1	   69	  2.789
      1	        0	  1	   70	  2.702
      1	        0	  1	   71	  2.846
      1	        0	  1	   72	  3.024
      1	        0	  1	   73	  3.130
      1	        0	  1	   74	  3.033
      1	        0	  1	   75	  1.340
      1	        0	  1	   76	  2.408
      1	        0	  1	   77	  2.670
      1	        0	  1	   78	  3.439
      1	        0	  1	   79	  2.833
      1	        0	  1	   80	  3.070
      1	        0	  1	   81	  2.852
      1	        0	  1	   82	  3.203
      1	        0	  1	   83	  2.798
      1	        0	  1	   84	  2.259
      1	        0	  1	   85	  2.730
      1	        0	  1	   86	  2.767
      1	        0	  1	   87	  2.651
      1	        0	  1	   88	  2.781
      1	        0	  1	   89	  2.822
      1	        0	  1	   90	  3.156
